ID,animals,professions,cities
26,тигр; лось; жираф; пантера; леопард; ехидна; ежик; лиса; волк; медведь; бобер; змея,электрик; сантехник; пекарь; токарь; фрезеровщик; судостроитель; столевар; строитель; штукатур; маляр; плотник; летчик; моряк; солдат; оператор; программист; телевизионщик; видеоинженер; звукооператор; звукорежиссер; диктор,Москва; Астрахань; Алма-Ата; Ташкент; Душанбе; Алупка; Анапа; Алушта; Трускавец; Минводы; Ессентуки; Пятигорск; Киров; Вятка; Тверь; Киев; Ленинград; Кострома; Архангельск; Вологда; Петрозаводск; Устюг; Новгород; Волгоград
27,лев; жираф; собака; рысь; кошка; тигр; пума; жираф; слон; носорог; газель; медведь; заяц; волк; куница; росомаха; белый медведь; ящерица; варан; сайгак; лань; норка; горностай; ласка; енот; кенгуру,врач; инженер; учитель; повар; парикмахер; водитель; инженер; лаборант; химик; технолог; продавец; медсестра; плотник; столяр; электрик; сантехник; водопроводчик; директор; менеджер; художник; реставратор; скульптор; актер; певец,Москва; Рига; Вашингтон; Киев; Сеул; Аддис-Абеба; Париж; Лондон; Харьков; Магадан; Берлин; Брюссель; Мадрид; Рим; Париж; Хельсинки; Таллин; Стокгольм; Тбилиси; Ереван; Баку; Ташкент; Душанбе; Астана; Рио-де-Жанейро; Сан-Франциско; Вашингтон; Нью-Йорк; Мехико; Оттава; Торонто 
28,слон; тигр; пантера; собака; кошка; обезьяна; косуля; лось; гепард; лев; бизон; крокодил; жираф; цапля; тюлень; медведь,психолог; инженер; ученый; исследователь; программист; писатель; литературовед; филолог; музыкант; HR; композитор; учитель; водитель; менеджер,Париж; Москва; Питер; Томск; Челябинск; Самара; Вологда; Киев; Нью-Йорк; Чикаго; Мюнхен; Бухарест; Франкфурт; Берлин; Химки
29,собака; кошка; кролик; овца; жираф; антилопа; обезьяна; свинья; заяц; корова; кенгуру; слон; леопард; тигр,машинист; тракторист; шофер; дворник; садовник; бухгалтер; инженер; архитектор; строитель; монолитчик; менеджер; мерчендайзер; продавец; грузчик,Москва; Брянск; Ротвелл ; Орел; курск; Белгород; Киев; Иваново; Рязань; Тамбов; Термез; Ленинград; Тверь; Иваново
30,лошадь; корова; овца; жираф; олень; лось; медведь; лиса; волк; антилопа; лев; гиена; гепард; леопард; тигр; слон; свинья; кабан; коза; собака; кошка,полицейский; слесарь; водитель; врач; учитель; инженер; летчик; стюардесса; пилот; космонавт; военный; животновод,Москва; Елец; Липецк; Орел; Тамбов; Белгород; Магнитогорск; Владивосток; Нижний Новгород; Ярославль; Курск; Нижний Тагил; Севастополь; Симферополь; Краснодар; Волгоград
31,собака; кошка; слон; жираф; зебра; лев; гиена; человек; попугай; голубь; панда; медведь; носорог; верблюд; дятел; щука; гадюка; змея; богомол; кролик; заяц; лиса; волк,врач; строитель; полицейский; пожарный; менеджер; логист; учитель; космонавт; геолог; летчик; кондуктор; машинист; кассир; продавец; уборщик; воспитатель; преподаватель; бухгалтер; психолог; маркетолог,Москва; Санкт-Петербург; Воронеж; Краснодар; Уфа; Сочи; Нальчик; Махачкала; Вена; Париж; Берлин; Рим; Ереван; Юмри; Стамбул; Анкара; Тбилиси; Баку; Ганджа; Ванадзор; Варшава; Краков; Юрмала; Вильнюс; Каунас; Нью-Йорк; Вашингтон; Глазго
32,слон; кенгуру; пингвин; дельфин; касатка; кит; страус; черепаха; попугай; орел; снегирь; волк; заяц; лиса; медведь; бурундук; сова; филин; галчонок; крот; кошка; собака; мышка; крыса; червь,лингвист; юрист; врач; дипломат; чиновник; депутат; водитель; рабочий; столяр; плотник; фрезеровщик; переводчик; хирург; преподаватель; ректор; административный служащий; продавец; повар; программист; ремонтник,Москва; Сергиев Посад; Подольск; Климовск; Серпухов; Клин; Гатчина; Санкт-Петербург; Мурманск; Нью-Йорк; Дели; Пекин; Химчан ; Токио; Осака; Владивосток; Магадан; Петропавловск-Камчатский; Находка; Хабаровск; Якутск; Мирный; Салехард; Омск; Новосибирск; Красноярск; Махачкала; Грозный; Нальчик; Краснодар; Сочи; Новороссийск; Геленджик; Анапа; Севастополь; Симферополь; Ялта; Ростов-на-Дону; Новочеркасск; Адлер
33,собака; кошка; слон; жираф; зебра; медведь; рысь; гиппопотам; обезьяна; кролик; корова; свинья; баран; россомаха; выдра,математик; химик; аналитик; физик; менеджер; маркетолог; продавец; грузчик; полицейский; следователь; судья; адвокат; учитель; музейный работник; уборщик; уборщица; дворник,Москва; Рига; Киев; Минск; Ереван; Баку; Тбилиси; Ашхабат; Алтмата; Зеленоград; Душамбе; Екатеринбург; Челябинск; Казань; Самара; Сызрань; Ростов; Краснодар; Сочи; Алушта; Феодосия; Симферополь; Ялта; Берлин; Мюнхан; Варшава; София; Прага; Любляны; Анкара; Рим; Неаполь
34,кошка; собака; лисица; змея; слон; гепард; жираф; тигр; волк; зебра; куница; верблюд; львица; шиншилла; черепаха; суслик; кабан; свинья; курица; петух,психолог; журналист; продавец; сммщик; водитель; строитель; зоолог; геолог; химик; профессор; учитель; уборщик; пожарный; визажист; менеджер; политолог; политик; редактор; летчик,Москва; Калининград; Волгоград; Минск; Мюнхен; Лиссабон; Кишинев; Питер; Барселона; Мадрид; Париж; Будапешт; Милан; Рим; Венеция; Берлин; Белгород; Курск; Липецк
35,рысь; лань; леопард; кошка; собака,психолог; биолог; социолог; математик; инженер; физик,Москва; Санкт-Петербург; Милан; Берлин; Париж; Лос-Анджелес; Сан-Франциско; Нью-Йорк; Стокгольм; Осло; Хельсинки
36,,,
37,собака; кошка; свинья; корова; лошадь; слон; тигр; медведь; волк; лиса,врач; учитель; водитель; кондуктор; инженер; директор; секретарь; юрист,Москва; Питер; Киров; Нижний Новгород; Сочи; Адлер; Тюмень; Красноярск; Архангельск
38,слон; собака; обезьяна; крокодил; черепаха; корова; свинья; кошка; заяц; кролик; слон; жираф; верблюд; медведь; лиса; панда; лемур; ленивец,врач; учитель; инженер; риелтор; конструктор; медсестра; программист; бухгалтер; экономист; библиотекарь; литератор; режиссер; актер; музыкант,Москва; Санкт-Петербург; Киров; Словатской; Иранск; Севастополь; Симферополь; Уфа; Тюмень; Хантымансийск; Ржум; Советск; Краснодар; Ленинград; Касторум; Нижний Новгород
39,корова; слон; жираф; черепаха; лошадь,врач; инженер; маркетолог; продавец; дворник; строитель; инженер; делопроизводитель,Киев; Воркута; Сыктывкар; Казань; Ижевск; Минск
40,овца; корова; лошадь; пеликан; пингвин; свинья; собака; кошка; уточка; лебедь; рак; щука; кит; дельфин; акула; белочка; комар,инженер; учитель; летчик; космонавт; программист; врач; железнодорожник; чернорабочий; доярка; дояр; плотник; слесарь; токарь; электрик; строитель,Москва; Ленинград; Тверь; Екатеринбург; Владивосток; Новосибирск; Комсомольск на Амуре; Владимир; Ярославль
41,жираф; бегемот; утка; снегирь; собака; мурена; скумбрия; конь; кот; хомяк; джунгарский хомяк; сирийский хомяк; коза; кура; корова; овца; бык; свинья,флейтистка; тестировщик ПО; программист; рекламист; филолог; онколог; врач; скрипач; музыкант; системаный администратор; предприниматель; учитель; сборщик мебели; механик; слесарь; посудомойщик; домохозяка,Королев; Тула; Орел; Барселона; Кишинев; Сантк-Петербург; Кастрома; Тверь; Щелкова; Ивантеевка; Юбилейный; Москва; Курск; Щенково; Антананариву
42,зебра; лиса; тигр; лев; черепаха; антилопа; лама; конь; собака; кошка; золотой рыбка; свинья; овца; корова; бык; козел; олень; медведь; панда; голубь; ворона; попугай; змея,социолог; политолог; маркетолог; экономист; лингвист; психолог; полицейский; врач; хирург; педиатр; ортопед; кондитер; повар; продавец; кассир; учитель; художник; дизайнер; дирижер; певец; охранник; маляр; парикмахер,Москва; Санкт-Петербург; Орел; Анапа; Сочи; Владивосток; Камчатка; Нью-Йорк; Карабаново; Владимир; Александров; Екатеринбург; Новосибирск; Челябинск; Рязань; Рим; Барселона; Мадрид; Милан
43,лошадь; корова; баран; слон; конь; носорог,врач; инженер; учитель; ветеринар; механик; водитель; разнорабочий; повар; дворник; официант; начальник,Москва; Ленинград; Тула; Тамбов; Сочи; Анапа; Казань; Краснодар; Ноябрьск; Тюмень; Пенза
44,лось; кабан; кошка; собака; корова; коза; овца; дикобраз; носорог; слон; обезьяна; гиппопотам; волк; лиса; ежик; черепаха; дельфин; змея; жираф; утконос; енот; выдра; норка; песец,маркетолог; продавец; врач; учитель; певец; танцор; программист; руководитель; тренер; наладчик; оператор; начальник склада; мастер; литейщик; сталевар; сварщик; строитель; укладчик шпал; маляр; художник; металлург; кондитер; хлебороб; хлебопек,Москва; Рим; Флоренция; Милан; Вена; Будапешт; Тула; Калуга; Боровск; Ташкент; Алма-аты; Владивосток; Хабаровск; Рига; Вильнюс; Таллин; Санкт-Петербург; Петрозаводск; Мурманск; Архангельск; Белгород; Севастополь; Феодосия; Сочи; Краснодар; Норильск; Новосибирск; Магнитка
45,кошка; собака;  дельфин; кит; попугай; голубь; ворон; сорока; дрозд; сова; кукушка; воробей; тетерев; страус; перепел; рысь; енот; бобр; крот; манул; медведь; собака-динго; амурский тигр; лев; пантера; ягуар,звукорежиссер; режиссер; оператор; гример; костюмер; сценарист; помощник режиссера; ассистент; фокус-пулер; продюсер; хлопушка; психолог; ортопед; лор; терапевт; хирург; офтальмолог; анастезиолог; строитель; чернорабочий; уборщик; механик; инженер; технолог; библиотекарь,Москва; Петербург; Рязань; Новгород; Ярославль; Калининград; Севастополь; Ставрополь; Архангельск; Мурманск; Таллин; Владивосток; Хабаровск; Петропавловск-Камчатск; Магадан; Воркута; Алма-Ата; Казань; Бруклин; Нью-Йорк; Сан-Франциско; Лос-Анджелес
46,слон; собака; кошка; тигр; леопард; жираф; бегемот; крокодил; кабан; олень; лось; лев; слон; кролик; петух; корова; коза; баран; овечка; верблюд; ежик; черепаха; дельфин,плотник; врач; математик; учитель; социолог; маркетолог; интернет-разработчик; столяр; машинист; водитель; кондуктор; бухгалтер; юрист,Москва; Казань; Уфа; Набережные Челны; Омск; Ставрополь; Самара; Нижний Новгород; Краснодар; Красноярск; Красногорск; Люберцы; Балашиха; Дмитров; Санкт-Петербург; Владивосток; Орел; Истра
47,волк; собака; медведь; крокодил; медведь; кошка; курица; енот; белка; корова; овца; козел; свинья; лиса; обезьяна; тигр; лев; слон; пантера; черепаха,сварщик; монтажник; строитель; врач; учитель; летчик; бурильщик; шахтер; пилот; адвокат; полицейский; машинист; дорожный строитель; водитель; проходчик; дворник; уборщик; повар; тренер; айтишник; мотальщик,Москва; Санкт-Петербург; Казань; Пермь; Калининград; Иркутск; Ижевск; Глазов; Угловая; Тула; Коломна;  Кашира; Петропавловск; Петрозаводск; Нью-Йорк; Сан-Франциско; Лос-Анджелес; Бруклин
